,,,,,,Criteria,Criteria,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,PTS,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,James Harden\hardeja01,2016-17,27,HOU,NBA,29.1,15.0,81,81,2947,674,1533,412,777,262,756,746,881,95,564,659,907,121,38,464,215,2356,.440,.530,.347,.525,.847,.613
2,Rudy Gobert\goberru01,2016-17,24,UTA,NBA,14.0,14.3,81,81,2744,413,625,413,624,0,1,311,476,314,721,1035,97,49,214,147,246,1137,.661,.662,.000,.661,.653,.681
3,Jimmy Butler\butleji01,2016-17,27,CHI,NBA,23.9,13.8,76,75,2809,570,1252,479,1004,91,248,585,676,129,341,470,417,143,32,159,112,1816,.455,.477,.367,.492,.865,.586
4,Kawhi Leonard\leonaka01,2016-17,25,SAS,NBA,25.5,13.6,74,74,2474,636,1312,489,925,147,387,469,533,80,350,430,260,133,55,154,122,1888,.485,.529,.380,.541,.880,.610
5,Russell Westbrook\westbru01,2016-17,28,OKC,NBA,31.6,13.1,81,81,2802,824,1941,624,1358,200,583,710,840,137,727,864,840,132,31,438,190,2558,.425,.459,.343,.476,.845,.554
6,LeBron James\jamesle01,2016-17,32,CLE,NBA,26.4,12.9,74,74,2794,736,1344,612,1002,124,342,358,531,97,542,639,646,92,44,303,134,1954,.548,.611,.363,.594,.674,.619
7,Karl-Anthony Towns\townska01,2016-17,21,MIN,NBA,25.1,12.7,82,82,3030,802,1480,701,1205,101,275,356,428,296,711,1007,220,56,103,212,241,2061,.542,.582,.367,.576,.832,.618
8,Stephen Curry\curryst01,2016-17,28,GSW,NBA,25.3,12.6,79,79,2638,675,1443,351,654,324,789,325,362,61,292,353,524,142,17,239,183,1999,.468,.537,.411,.580,.898,.624
9,Isaiah Thomas\thomais02,2016-17,27,BOS,NBA,28.9,12.5,76,76,2569,682,1473,437,827,245,646,590,649,43,162,205,448,70,13,210,167,2199,.463,.528,.379,.546,.909,.625
10,Giannis Antetokounmpo\antetgi01,2016-17,22,MIL,NBA,22.9,12.4,80,80,2845,656,1259,607,1079,49,180,471,612,142,558,700,434,131,151,234,246,1832,.521,.563,.272,.541,.770,.599
11,Kevin Durant\duranke01,2016-17,28,GSW,NBA,25.1,12.0,62,62,2070,551,1026,434,714,117,312,336,384,39,474,513,300,66,99,138,117,1555,.537,.608,.375,.594,.875,.651
12,DeAndre Jordan\jordade01,2016-17,28,LAC,NBA,12.7,11.8,81,81,2570,412,577,412,575,0,2,205,425,298,816,1114,96,51,134,115,212,1029,.714,.717,.000,.714,.482,.673
13,Anthony Davis\davisan02,2016-17,23,NOP,NBA,28.0,11.0,75,75,2708,770,1526,730,1392,40,134,519,647,172,712,884,157,94,167,181,168,2099,.505,.524,.299,.518,.802,.580
14,Chris Paul\paulch01,2016-17,31,LAC,NBA,18.1,10.6,61,61,1921,374,785,250,483,124,302,232,260,40,264,304,563,119,8,147,146,1104,.476,.518,.411,.555,.892,.614
